VariableCode,Item,ExtractSource,SurveyYear,LoopIndex1,LoopIndex2,Translate,Active,Notes,QuestionName,VariableTitle
R0000100,1,1,1997,1,1,1,1,,PUBID, YOUTH CASE IDENTIFICATION CODE
R1193000,2,1,1997,1,1,1,1,,SIDCODE ,HOUSEHOLD IDENTIFICATION CODE
R0536300,10,1,1997,1,1,1,1,,KEY!SEX, RS GENDER (SYMBOL)
R0536401,11,1,1997,1,1,1,1,,KEY!BDATE, RS BIRTHDATE MONTH/YEAR (SYMBOL)
R0536402,12,1,1997,1,1,1,1,,KEY!BDATE, RS BIRTHDATE MONTH/YEAR (SYMBOL)
R1235800,13,1,1997,1,1,1,1,,CV_SAMPLE_TYPE,SAMPLE TYPE.  CROSS-SECTIONAL OR OVERSAMPLE
R1097800,101,2,1997,1,1,1,1,,HHI2_HHI1ID.01,"HHI2_HHI1ID, ID OF HH MEMBER 01 FROM HHI1 ROSTER (SCR ROS ITEM)"
R1097900,101,2,1997,2,1,1,1,,HHI2_HHI1ID.02,"HHI2_HHI1ID, ID OF HH MEMBER 02 FROM HHI1 ROSTER (SCR ROS ITEM)"
R1098000,101,2,1997,3,1,1,1,,HHI2_HHI1ID.03,"HHI2_HHI1ID, ID OF HH MEMBER 03 FROM HHI1 ROSTER (SCR ROS ITEM)"
R1098100,101,2,1997,4,1,1,1,,HHI2_HHI1ID.04,"HHI2_HHI1ID, ID OF HH MEMBER 04 FROM HHI1 ROSTER (SCR ROS ITEM)"
R1098200,101,2,1997,5,1,1,1,,HHI2_HHI1ID.05,"HHI2_HHI1ID, ID OF HH MEMBER 05 FROM HHI1 ROSTER (SCR ROS ITEM)"
R1098300,101,2,1997,6,1,1,1,,HHI2_HHI1ID.06,"HHI2_HHI1ID, ID OF HH MEMBER 06 FROM HHI1 ROSTER (SCR ROS ITEM)"
R1098400,101,2,1997,7,1,1,1,,HHI2_HHI1ID.07,"HHI2_HHI1ID, ID OF HH MEMBER 07 FROM HHI1 ROSTER (SCR ROS ITEM)"
R1098500,101,2,1997,8,1,1,1,,HHI2_HHI1ID.08,"HHI2_HHI1ID, ID OF HH MEMBER 08 FROM HHI1 ROSTER (SCR ROS ITEM)"
R1098600,101,2,1997,9,1,1,1,,HHI2_HHI1ID.09,"HHI2_HHI1ID, ID OF HH MEMBER 09 FROM HHI1 ROSTER (SCR ROS ITEM)"
R1098700,101,2,1997,10,1,1,1,,HHI2_HHI1ID.10,"HHI2_HHI1ID, ID OF HH MEMBER 10 FROM HHI1 ROSTER (SCR ROS ITEM)"
R1098800,101,2,1997,11,1,1,1,,HHI2_HHI1ID.11,"HHI2_HHI1ID, ID OF HH MEMBER 11 FROM HHI1 ROSTER (SCR ROS ITEM)"
R1098900,101,2,1997,12,1,1,1,,HHI2_HHI1ID.12,"HHI2_HHI1ID, ID OF HH MEMBER 12 FROM HHI1 ROSTER (SCR ROS ITEM)"
R1099000,101,2,1997,13,1,1,1,,HHI2_HHI1ID.13,"HHI2_HHI1ID, ID OF HH MEMBER 13 FROM HHI1 ROSTER (SCR ROS ITEM)"
R1099100,101,2,1997,14,1,1,1,,HHI2_HHI1ID.14,"HHI2_HHI1ID, ID OF HH MEMBER 14 FROM HHI1 ROSTER (SCR ROS ITEM)"
R1099200,101,2,1997,15,1,1,1,,HHI2_HHI1ID.15,"HHI2_HHI1ID, ID OF HH MEMBER 15 FROM HHI1 ROSTER (SCR ROS ITEM)"
R1099300,101,2,1997,16,1,1,1,,HHI2_HHI1ID.16,"HHI2_HHI1ID, ID OF HH MEMBER 16 FROM HHI1 ROSTER (SCR ROS ITEM)"
R1101000,102,2,1997,1,1,1,1,,HHI2_ID.01,"HHI2_ID, HH MEMBER 01 ID (SCR ROS ITEM)"
R1101100,102,2,1997,2,1,1,1,,HHI2_ID.02,"HHI2_ID, HH MEMBER 02 ID (SCR ROS ITEM)"
R1101200,102,2,1997,3,1,1,1,,HHI2_ID.03,"HHI2_ID, HH MEMBER 03 ID (SCR ROS ITEM)"
